IP:PORT,网络延迟,城市
104.19.1.50:443,158ms,Los Angeles
172.67.169.68:443,160ms,Los Angeles
104.18.149.210:443,156ms,Los Angeles
104.19.50.1:443,155ms,Los Angeles
104.27.30.5:443,155ms,Los Angeles
104.25.50.82:443,160ms,Los Angeles
104.18.248.84:443,156ms,Los Angeles
104.24.208.221:443,159ms,Los Angeles
104.19.40.151:443,155ms,Los Angeles
172.67.159.180:443,155ms,Los Angeles
8.39.214.78:443,157ms,Los Angeles
172.67.136.98:443,154ms,Los Angeles
104.25.124.86:443,156ms,Los Angeles
104.25.110.162:443,155ms,Los Angeles
104.18.216.214:443,155ms,Los Angeles
104.19.225.84:443,153ms,Los Angeles
104.18.81.60:443,160ms,Los Angeles
104.25.3.49:443,155ms,Los Angeles
104.17.49.218:443,156ms,Los Angeles
104.24.171.224:443,157ms,Los Angeles
