排名,IP地址,地区码,地区,延迟,下载速度,端口,测速类型
1,104.21.235.84,LAX,洛杉矶,156.00,4.62,443,地区测速
2,104.20.38.96,LAX,洛杉矶,156.00,4.59,443,地区测速
3,104.16.254.16,LAX,洛杉矶,156.00,4.56,443,地区测速
4,162.159.0.30,LAX,洛杉矶,156.00,4.12,443,地区测速
5,162.159.24.14,LAX,洛杉矶,140.00,4.10,443,地区测速
6,172.64.48.32,LAX,洛杉矶,141.00,4.00,443,地区测速
7,104.18.18.194,LAX,洛杉矶,156.00,3.99,443,地区测速
8,162.159.152.40,LAX,洛杉矶,156.00,3.89,443,地区测速
9,104.31.16.169,LAX,洛杉矶,140.00,3.77,443,地区测速
10,104.19.251.167,LAX,洛杉矶,156.00,3.52,443,地区测速
11,162.159.138.47,LAX,洛杉矶,156.00,3.26,443,地区测速
12,104.21.233.137,LAX,洛杉矶,156.00,3.19,443,地区测速
13,104.21.27.244,LAX,洛杉矶,156.00,2.86,443,地区测速
14,162.159.39.35,LAX,洛杉矶,156.00,2.74,443,地区测速
15,104.21.214.159,LAX,洛杉矶,156.00,2.67,443,地区测速
16,104.21.199.57,LAX,洛杉矶,156.00,2.60,443,地区测速
17,104.18.21.160,LAX,洛杉矶,156.00,2.59,443,地区测速
18,104.18.19.7,LAX,洛杉矶,156.00,1.82,443,地区测速
19,162.159.130.230,LAX,洛杉矶,156.00,1.30,443,地区测速
20,172.64.69.64,LAX,洛杉矶,140.00,0.00,443,地区测速
