IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.18.128.31,4,4,0.00,157.31,8.81,LAX,443
172.66.214.92,4,4,0.00,156.99,8.02,LAX,443
104.16.160.250,4,4,0.00,154.45,7.91,LAX,443
104.19.95.122,4,4,0.00,154.49,7.62,LAX,443
162.159.92.55,4,4,0.00,156.33,7.31,LAX,443
104.18.134.100,4,4,0.00,155.51,7.09,LAX,443
104.18.49.203,4,4,0.00,155.72,7.02,LAX,443
162.159.36.69,4,4,0.00,156.06,7.02,LAX,443
104.27.115.252,4,4,0.00,155.93,6.83,LAX,443
172.64.147.5,4,4,0.00,153.27,6.74,LAX,443
172.67.104.208,4,4,0.00,155.34,6.61,LAX,443
104.18.23.180,4,4,0.00,157.46,6.50,LAX,443
104.19.67.150,4,4,0.00,151.07,6.41,LAX,443
172.67.91.94,4,4,0.00,156.74,6.27,LAX,443
104.24.75.124,4,4,0.00,156.45,6.23,LAX,443
104.21.41.80,4,4,0.00,157.14,6.13,LAX,443
172.64.90.133,4,4,0.00,156.82,5.88,LAX,443
104.19.39.37,4,4,0.00,156.03,5.88,LAX,443
162.159.230.168,4,4,0.00,150.63,5.86,LAX,443
172.67.214.72,4,4,0.00,156.88,5.46,LAX,443
